well_id,well_name,latitude,longitude,well_type,well_status,well_result,field_name,field_code,field_operator,field_result,block_name,block_area_sqkm
L16-10,L16-10,53.02477401,4.18423762,Hydrocarbon exploration,Abandoned,Oil,,,,,L16,414.053084625
P04-01,P04-01,52.77546701,3.26847794,Hydrocarbon exploration,Abandoned,Dry,,,,,P04,170.272562981
P05-01,P05-01,52.76485718,3.41453744,Hydrocarbon exploration,Abandoned,Dry,,,,,P05,417.17070305
P05-02,P05-02,52.82258153,3.44125857,Hydrocarbon exploration,Abandoned,Oil shows,,,,,P05,417.17070305
P05-03,P05-03,52.79522073,3.54795651,Hydrocarbon exploration,Abandoned,Oil shows,,,,,P05,417.17070305
P05-04,P05-04,52.7784147,3.55823497,Hydrocarbon exploration,Abandoned,Oil shows,,,,,P05,417.17070305
P06-01,P06-01,52.72697168,3.83454891,Hydrocarbon exploration,Abandoned,Gas,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,P06,417.192386699
P06-02,P06-02,52.73616779,3.96394074,Hydrocarbon exploration,Abandoned,Gas,,,,,P06,417.192386699
P06-B-02,P06-B-02,52.73738838,3.80371454,Hydrocarbon evaluation,Abandoned,Gas,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,P06,417.192386699
P06-04,P06-04,52.75713817,3.72698976,Hydrocarbon evaluation,Abandoned,Technical failure,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,P06,417.192386699
P06-04A,P06-04A,52.75633254,3.72621206,Hydrocarbon evaluation,Abandoned,Gas,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,P06,417.192386699
P06-C-02,P06-C-02,52.71881025,3.8284684,Hydrocarbon development,Abandoned,Gas,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,P06,417.192386699
E04-01,E04-01,54.68545885,3.21955132,Hydrocarbon exploration,Abandoned,Dry,,,,,E04,397.939738299
K03-01,K03-01,53.96373273,3.69028497,Hydrocarbon exploration,Abandoned,Gas,K02b-A,K02-FA,Eni Energy Netherlands B.V.,Gas,K03,406.040254525
Q10-03,Q10-03,52.45407257,4.20492156,Hydrocarbon exploration,Abandoned,Gas,Q10-Beta,Q10-B,Kistos NL2 B.V.,Gas,Q10,420.377447068
L14-A-02,L14-A-02,53.30708052,4.45054689,Hydrocarbon development,Abandoned,Dry,L14-FA,L14-S,Transcanada International Ltd.,Gas,L14,412.504796691
L08-G-03,L08-G-03,53.58123291,4.60399791,Hydrocarbon evaluation,Abandoned,Gas,L08-G,L08-G,Wintershall Noordzee B.V.,Gas,L08,409.311271825
L08-G-03-S2,L08-G-03-S2,53.58123291,4.60399791,Hydrocarbon development,Abandoned,Gas,L08-G,L08-G,Wintershall Noordzee B.V.,Gas,L08,409.311271825
L08-G-03-S1,L08-G-03-S1,53.58123291,4.60399791,Hydrocarbon development,Abandoned,Technical failure,L08-G,L08-G,Wintershall Noordzee B.V.,Gas,L08,409.311271825
K16-05,K16-05,53.12393795,3.14211154,Hydrocarbon exploration,Abandoned,Technical failure,K16-5,K16-5, ,Gas,K16,266.57116582
K16-05-S1,K16-05-S1,53.12393795,3.14211154,Hydrocarbon exploration,Abandoned,Gas,K16-5,K16-5, ,Gas,K16,266.57116582
Q07-05,Q07-05,52.60461171,4.29992513,Hydrocarbon exploration,Abandoned,Dry,,,,,Q07,418.801547119
G13-01,G13-01,54.23034219,5.24884433,Hydrocarbon exploration,Abandoned,Dry,,,,,G13,402.98792369
F18-09-S2,F18-09-S2,54.1019713,4.75561336,Hydrocarbon exploration,Abandoned,Dry,F18-FA (Fregat),F18-FA, ,Olie,F18,404.543651538
P12-C-02,P12-C-02,52.40892568,3.85976717,Hydrocarbon exploration,Abandoned,Gas,P12-C,P12-C,Wintershall Noordzee B.V.,Gas,P12,420.345233607
P12-C-02-S1,P12-C-02-S1,52.40892568,3.85976717,Hydrocarbon evaluation,Abandoned,Dry,P12-C,P12-C,Wintershall Noordzee B.V.,Gas,P12,420.345233607
F12-04,F12-04,54.44453457,4.70398483,Hydrocarbon exploration,Abandoned,Technical failure,,,,,F12,401.315557749
OSH-03-S3,OSH-03-S3,52.7427969,6.71264187,Hydrocarbon development,Closed-in,Gas,Oosterhesselen,OSH,Nederlandse Aardolie Maatschappij B.V.,Gas,,
