well_id,well_name,latitude,longitude,coordinate_system,well_type,status,result,trajectory,operator,drilling_contractor,platform,start_date,end_date,end_depth_m,end_depth_unit,vertical_depth_m,true_vertical_depth_m,deviation_m,max_deviation_m,field_name,field_code,field_operator,field_result,field_status,block_name,block_area_sqkm,in_field,in_block,field_count,block_count
L16-10,L16-10,53.02477401,4.18423762,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil,Deviated,Continental Netherlands Oil Company B.V.,Zapata International,Zapata Scotian,1989-04-22,1989-06-26,3879,Rotary Table,3425.57,3385.47,753.14,1203.85,,,,,,L16,414.053084625,No,Yes,0,1
P04-01,P04-01,52.77546701,3.26847794,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,Mobil Producing Netherlands Inc.,Dyvi Drilling A/S,Dyvi Beta,1977-08-16,1977-09-28,2746.6,Kelly Bushing,2727.34,2694.34,132.93,145.85,,,,,,P04,170.272562981,No,Yes,0,1
P05-01,P05-01,52.76485718,3.41453744,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,Petroland B.V.,Zapata International,Endeavour,1968-07-04,1968-09-26,3255,Rotary Table,3251.63,3215.73,,,,,,,,P05,417.17070305,No,Yes,0,1
P05-02,P05-02,52.82258153,3.44125857,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil shows,Deviated,Mobil Producing Netherlands Inc.,Penrod International Drilling Company,Penrod 80,1980-06-28,1980-09-09,3603,Kelly Bushing,3594.38,3561.97,-0.77,49.33,,,,,,P05,417.17070305,No,Yes,0,1
P05-03,P05-03,52.79522073,3.54795651,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil shows,Vertical,Mobil Producing Netherlands Inc.,Keydril Company,Galveston Key,1982-01-22,1982-03-02,1698,Kelly Bushing,1697.58,1664.88,-4.63,20.05,,,,,,P05,417.17070305,No,Yes,0,1
P05-04,P05-04,52.7784147,3.55823497,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil shows,Vertical,Mobil Producing Netherlands Inc.,Zapata International,Zapata Nordic,1983-08-08,1983-09-03,1418,Kelly Bushing,1417.97,1382.17,-0.06,8.23,,,,,,P05,417.17070305,No,Yes,0,1
P06-01,P06-01,52.72697168,3.83454891,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Transocean Drilling Ltd.,Transocean I,1968-07-12,1968-12-03,3680,Rotary Table,3677.66,3651.96,-32.26,-43.73,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-02,P06-02,52.73616779,3.96394074,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Deviated,Mobil Producing Netherlands Inc.,Transocean Drilling Ltd.,Transocean I,1969-03-13,1969-06-03,3145,Kelly Bushing,3140.07,3114.07,,140.51,,,,,,P06,417.192386699,No,Yes,0,1
P06-B-02,P06-B-02,52.73738838,3.80371454,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Zapata International,Zapata Scotian,1975-11-11,1976-03-16,3575,Rotary Table,3572.65,3541.45,8.51,-58.19,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-04,P06-04,52.75713817,3.72698976,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Technical failure,Vertical,Mobil Producing Netherlands Inc.,Penrod International Drilling Company,Penrod 64,1978-05-30,1978-06-14,551,Rotary Table,551,522.6,,,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-04A,P06-04A,52.75633254,3.72621206,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Penrod International Drilling Company,Penrod 64,1978-06-15,1978-11-17,3714,Rotary Table,3711.33,3679.23,-18.65,-3.7,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-C-02,P06-C-02,52.71881025,3.8284684,ED50-GEOGR,Hydrocarbon development,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Transocean Drilling Ltd.,Transocean VI,1986-12-01,1987-01-30,3313.2,Rotary Table,3310.31,3273.61,-72.24,-44.18,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
