Title:,Basin Performance & Upside Potential Ranking S&P 2024
Data Source:,S&P 2024

Basin Name,Country,Region,PETRONAS Presence,Discovered Recoverable Resources (MMboe),Yet to Find (MMboe),Tier
Amapa Platform,French Guiana,AME,No,2,20,4
Andaman Sea,India,APAC,No,31,0,4
Angoche,Mozambique,AFR,No,0,0,4
Banda Forearc ,Indonesia,APAC,No,0,0,4
Baram Delta,Brunei/Malaysia,APAC,No,17486,1164,3
Barents Sea,Russia-Norway,MECA,No,3892,1202,4
Barreirinhas,Brazil,AME,No,2,11,4
Batinah/ Sohar Basin,Oman,MECA,No,0,0,4
Bengal Bay,India/Bangladesh/Myanmar,APAC,No,5117,404,3
Black Sea,Bulgaria-Romania-Ukraine-Russia-Georgia-Turkey,MECA,No,5337,465,3
Bonaparte,Australia/Indonesia/Timor Leste,APAC,No,10034,932,3
Bone,Indonesia,APAC,No,0,0,4
Browse,Australia,APAC,No,8276,536,3
Buton,Indonesia,APAC,No,5,0,4
Camamu Almada,Brazil,AME,No,391,113,4
Campeche Deep Sea,Mexico,AME,No,671,3311,4
Campos,Brazil,AME,No,34722,6624,1
Campos Post Salt,Brazil,AME,No,24201,0,3
Campos Pre Salt,Brazil,AME,No,10521,0,3
Catemaco Fold Belt ,Mexico,AME,No,292,11,4
Cauvery ,Sri Lanka/India,APAC,No,743,121,4
Ceara,Brazil,AME,No,342,608,4
Central Ridge,Canada,AME,No,107,358,4
Chad,Chad,AFR,No,925,714,4
Colorado,Argentina,AME,No,0,0,4
Columbus,Trinidad & Tabago,AME,No,9783,0,3
Congo Fan,Congo/Angola ,AFR,No,20874,7872,1
C Sumatra,Indonesia,APAC,No,16164,1049,3
Cuu Long,Vietnam,APAC,No,4673,475,4
Dibdibah (Central Arabia),Kuwait,MECA,No,211660,0,3
Douala,Cameroon/Equatorial Guinea,AFR,No,1625,103,4
Durban,South Africa,AFR,No,0,0,4
DW US GoM,USA,AME,No,35128,12620,1
East Java,Indonesia,APAC,No,4357,725,4
East Natuna,Indonesia~Vietnam~Malaysia~Malaysia/Vietnam JDZ~China,APAC,No,8193,413,3
East Venezuela ,Venezuela,AME,No,324265,6920,1
Eratosthenes,Cyprus/Egypt,AFR,No,4143,147,4
Espirito Santo,Brazil,AME,No,2409,1758,4
Essaouira,Morocco,AFR,No,25,0,4
Fahud-Ghaba,Oman,MECA,No,16493,1994,3
