Basin Name,Country,Region,Net Govt Take (%),PETRONAS,Bid Rounds,Direct Nego,Farm-In,ESG Index,Production,Rigs,No Special Tech,No Metocean,CRP,Econ Score,Access Score,ESG Score,Oper Score,CRP Score,PETRONAS Presence,Tier,Total Score
Amapa Platform,French Guiana,AME,34,,,,,,false,true,true,,,4,2,1,3,4,NO,Tier 2 - Medium Rank,14
Andaman Sea,India,APAC,55,,,,,,false,true,false,,,4,1,2,2,4,NO,Tier 2 - Medium Rank,13
Angoche,Mozambique,AFRICA,72,,,,,,false,false,true,,,2,2,1,2,2,NO,Tier 3 - Mid Rank,9
Banda Forearc,Indonesia,APAC,84,,,,,,false,true,false,,,1,2,2,2,4,NO,Tier 2 - Medium Rank,11
Baram Delta,Malaysia,APAC,67,,,,,,true,true,true,,,3,4,3,4,4,YES,Tier 1 - High Rank,18
Baram Delta,Brunei,APAC,62,,,,,,true,true,true,,,3,1,3,4,4,YES,Tier 2 - Medium Rank,15
Barents Sea,Norway,MECA,79,,,,,,true,true,true,,,2,1,4,3,4,NO,Tier 2 - Medium Rank,14
Barents Sea,Russia,MECA,42,,,,,,true,false,true,,,4,0,1,2,2,NO,Tier 3 - Mid Rank,9
Barreirinhas,Brazil,AME,75,,,,,,false,true,true,,,2,3,3,2,4,NO,Tier 2 - Medium Rank,14
Batinah/Sohar,Oman,MECA,100,,,,,,false,true,false,,,1,3,2,2,4,NO,Tier 2 - Medium Rank,12
Bengal Bay,Bangladesh,APAC,70,,,,,,true,true,true,,,2,3,2,4,4,NO,Tier 2 - Medium Rank,15
Black Sea,Bulgaria,MECA,21,,,,,,true,false,true,,,4,2,3,3,4,NO,Tier 1 - High Rank,16
Black Sea,Georgia,MECA,21,,,,,,false,false,true,,,4,2,3,2,4,NO,Tier 2 - Medium Rank,15
Black Sea,Romania,MECA,37,,,,,,true,true,true,,,4,1,3,4,4,NO,Tier 1 - High Rank,16
Black Sea,Russia,MECA,42,,,,,,false,false,true,,,4,0,1,2,2,NO,Tier 3 - Mid Rank,9
Black Sea,Turkey,MECA,40,,,,,,true,true,true,,,4,1,2,4,3,NO,Tier 2 - Medium Rank,14
Black Sea,Ukraine,MECA,40,,,,,,true,true,true,,,4,2,1,4,1,NO,Tier 2 - Medium Rank,12
Bonaparte,Timor Leste,APAC,66,,,,,,true,true,true,,,3,2,3,4,4,NO,Tier 1 - High Rank,16
Bonaparte,Indonesia,APAC,80,,,,,,false,true,true,,,2,1,2,3,4,YES,Tier 2 - Medium Rank,12
Bonaparte,Australia,APAC,56,,,,,,true,true,true,,,4,3,4,4,4,YES,Tier 1 - High Rank,19
Bone,Indonesia,APAC,80,,,,,,false,true,true,,,1,2,2,3,4,NO,Tier 2 - Medium Rank,12
Browse,Australia,APAC,51,,,,,,true,true,true,,,4,3,4,4,4,NO,Tier 1 - High Rank,19
Buton,Indonesia,APAC,80,,,,,,false,true,true,,,1,2,2,3,4,NO,Tier 2 - Medium Rank,12
Camamu Almada,Brazil,AME,49,,,,,,true,true,true,,,4,3,3,3,4,NO,Tier 1 - High Rank,17
Campeche Deep Sea,Mexico,AME,63,,,,,,false,true,true,,,3,2,2,2,4,YES,Tier 2 - Medium Rank,13
Campos Post Salt,Brazil,AME,63,,,,,,true,true,false,,,3,3,3,2,4,YES,Tier 2 - Medium Rank,15
Campos Pre Salt,Brazil,AME,88,,,,,,true,true,false,,,1,3,3,2,4,YES,Tier 2 - Medium Rank,13
Catemaco Fold Belt,Mexico,AME,63,,,,,,false,true,true,,,3,2,2,2,4,NO,Tier 2 - Medium Rank,13
Cauvery,Sri Lanka,APAC,99,,,,,,false,true,true,,,1,1,3,3,4,NO,Tier 2 - Medium Rank,12
Cauvery,India,APAC,77,,,,,,true,true,true,,,2,2,2,4,4,NO,Tier 2 - Medium Rank,14
Ceara,Brazil,AME,64,,,,,,true,true,true,,,3,3,3,3,4,NO,Tier 1 - High Rank,16
Central Ridge (Canada),Canada,AME,53,,,,,,false,true,true,,,4,2,3,2,4,NO,Tier 2 - Medium Rank,15
Chad,Chad,AFRICA,79,,,,,,true,true,true,,,2,2,1,4,2,NO,Tier 2 - Medium Rank,11
Colorado,Argentina,AME,59,,,,,,false,true,true,,,4,3,3,3,2,NO,Tier 2 - Medium Rank,15
Columbus Basin,Trinidad & Tabago,AME,100,,,,,,false,true,true,,,1,3,3,3,4,NO,Tier 2 - Medium Rank,14
Congo Fan,Angola,AFRICA,69,,,,,,true,true,true,,,3,4,2,4,3,NO,Tier 1 - High Rank,16
Congo Fan,Congo,AFRICA,72,,,,,,true,true,true,,,2,3,2,4,2,NO,Tier 2 - Medium Rank,13
C Sumatra,Indonesia,APAC,89,,,,,,true,true,false,,,1,3,2,3,4,NO,Tier 2 - Medium Rank,13
Cuu Long,Vietnam,APAC,77,,,,,,true,true,true,,,2,3,2,4,4,NO,Tier 2 - Medium Rank,15
Dibdibah,Kuwait,MECA,98,,,,,,true,true,true,,,1,2,3,4,4,NO,Tier 2 - Medium Rank,14
Douala,Cameroon,AFRICA,70,,,,,,true,true,false,,,2,2,1,3,2,NO,Tier 3 - Mid Rank,10
Douala,Equatorial Guinea,AFRICA,65,,,,,,true,true,true,,,3,2,1,4,3,NO,Tier 2 - Medium Rank,13
Durban,South Africa,AFRICA,37,,,,,,false,false,true,,,4,2,2,1,4,NO,Tier 2 - Medium Rank,13
DW US Gulf of Mexico,USA,AME,64,,,,,,true,true,false,,,3,2,3,2,4,NO,Tier 2 - Medium Rank,14
East Java,Indonesia,APAC,84,,,,,,true,true,false,,,1,3,2,3,4,YES,Tier 2 - Medium Rank,13
East Natuna,Indonesia,APAC,93,,,,,,false,true,false,,,1,3,2,2,4,NO,Tier 2 - Medium Rank,12
East Venezuela Basin,Venezuela,AME,86,,,,,,true,true,true,,,1,2,1,4,1,NO,Tier 3 - Mid Rank,9
Eratosthenes,Cyprus,MECA,69,,,,,,true,true,true,,,3,1,3,4,4,NO,Tier 2 - Medium Rank,15
Eratosthenes,Egypt,MECA,90,,,,,,true,true,true,,,1,3,2,4,3,NO,Tier 2 - Medium Rank,13
Espirito Santos,Brazil,AME,51,,,,,,true,true,true,,,4,3,3,3,4,NO,Tier 1 - High Rank,17
Essaouira,Morocco,AFRICA,62,,,,,,true,false,true,,,3,2,2,3,4,NO,Tier 2 - Medium Rank,14
Fahud-Ghaba,Oman,MECA,100,,,,,,true,true,false,,,1,4,2,3,4,YES,Tier 2 - Medium Rank,14
Flemish Pass,Canada,AME,71,,,,,,true,true,true,,,2,3,3,3,4,NO,Tier 2 - Medium Rank,15
Foz do Amazonas,Brazil,AME,80,,,,,,false,true,true,,,2,3,3,2,4,NO,Tier 2 - Medium Rank,14
Ghadames,Algeria,MECA,93,,,,,,true,true,true,,,1,2,2,4,3,NO,Tier 2 - Medium Rank,12
Ghadames,Libya,MECA,25,,,,,,true,true,true,,,4,1,1,4,1,NO,Tier 2 - Medium Rank,11
Greater Guyana,Guyana,AME,58,,,,,,true,true,true,,,4,3,3,4,4,NO,Tier 1 - High Rank,18
Greater Guyana,Suriname,AME,65,,,,,,true,true,true,,,3,3,2,4,2,YES,Tier 2 - Medium Rank,14
Greater Pelotas,Brazil,AME,71,,,,,,false,true,true,,,2,3,3,3,4,NO,Tier 2 - Medium Rank,15
Greater Pelotas,Uruguay,AME,80,,,,,,false,true,true,,,1,2,3,3,4,NO,Tier 2 - Medium Rank,13
Greater Tarakan,Indonesia,APAC,89,,,,,,true,true,true,,,1,3,2,4,4,NO,Tier 2 - Medium Rank,14
Gulf Coast,USA,AME,28,,,,,,false,true,false,,,4,2,3,1,4,NO,Tier 2 - Medium Rank,14
Gulf of Guayaquil/ Progreso,Ecuador,AME,100,,,,,,true,true,true,,,1,2,1,4,2,NO,Tier 3 - Mid Rank,10
Gulf of Thailand,Thailand,APAC,80,,,,,,true,true,true,,,2,1,3,4,4,NO,Tier 2 - Medium Rank,14
Herodotus,Cyprus,MECA,69,,,,,,false,true,true,,,3,0,3,3,4,NO,Tier 2 - Medium Rank,13
Herodotus,Egypt,MECA,90,,,,,,false,true,true,,,1,4,2,3,3,NO,Tier 2 - Medium Rank,13
Illizi,Algeria,MECA,93,,,,,,true,true,true,,,1,2,2,4,3,NO,Tier 2 - Medium Rank,12
Illizi,Libya,MECA,25,,,,,,true,true,true,,,4,0,1,4,1,NO,Tier 3 - Mid Rank,10
Interior Sub-basin,Gabon,AFRICA,69,,,,,,true,true,true,,,3,3,2,3,3,NO,Tier 2 - Medium Rank,14
Ionian-Crete,Albania,MECA,69,,,,,,true,false,true,,,3,1,3,3,4,NO,Tier 2 - Medium Rank,14
Ionian-Crete,Greece,MECA,39,,,,,,false,true,true,,,4,1,3,3,4,NO,Tier 2 - Medium Rank,15
Ionian-Crete,Italy,MECA,40,,,,,,false,true,true,,,4,2,3,3,4,NO,Tier 1 - High Rank,16
Jeanne D'Arc,Canada,AME,60,,,,,,false,true,true,,,4,3,3,2,4,NO,Tier 1 - High Rank,16
Karama,Indonesia,APAC,63,,,,,,false,true,false,,,3,1,2,2,4,NO,Tier 2 - Medium Rank,12
Kerala-Konkan,India,APAC,73,,,,,,false,true,true,,,2,1,2,3,4,NO,Tier 2 - Medium Rank,12
Keta Basin (Benin Embayment),Benin,AFRICA,75,,,,,,false,false,true,,,2,2,2,2,3,NO,Tier 2 - Medium Rank,11
Krishna Godavari (KG),India,APAC,66,,,,,,true,true,true,,,3,3,2,4,4,NO,Tier 1 - High Rank,16
Kutei,Indonesia,APAC,63,,,,,,true,true,true,,,3,3,2,4,4,NO,Tier 1 - High Rank,16
Kwanza,Angola,AFRICA,69,,,,,,false,true,true,,,3,3,2,3,3,YES,Tier 2 - Medium Rank,14
Lariang,Indonesia,APAC,63,,,,,,false,true,false,,,3,1,2,2,4,NO,Tier 2 - Medium Rank,12
Levantine,Cyprus,MECA,69,,,,,,true,true,true,,,3,1,3,4,4,NO,Tier 2 - Medium Rank,15
Levantine,Egypt,MECA,90,,,,,,false,true,true,,,1,4,2,3,3,NO,Tier 2 - Medium Rank,13
Levantine,Lebanon,MECA,68,,,,,,false,false,true,,,3,2,2,2,1,NO,Tier 3 - Mid Rank,10
Levantine,Syria,MECA,70,,,,,,false,false,true,,,2,1,1,2,1,NO,Tier 3 - Mid Rank,7
Levantine,Turkey,MECA,40,,,,,,false,true,true,,,4,2,2,3,3,NO,Tier 2 - Medium Rank,14
Limon,Costa Rica,AME,100,,,,,,false,true,true,,,1,1,3,3,4,NO,Tier 2 - Medium Rank,12
Lower Congo,Angola,AFRICA,69,,,,,,true,true,true,,,3,3,2,4,3,NO,Tier 2 - Medium Rank,15
