Title:,Resource Density Listing - S&P 2024
Data Source:,S&P 2024

Basin Name,Country,Region,Basin Size (sq km),Discovered Recoverable (MMboe),Calculated Resource Density (MMBOE/1000sq km),Petronas Presence
East Venezuela,Venezuela,AME,216638,611319,2822,NO
Dibdibah,Kuwait,MECA,92077,211660,2299,NO
Sureste,Mexico,AME,62022,73511,1185,NO
Zagros (IRAN),Iran,MECA,504399,546459,1083,NO
Niger Delta,Nigeria,AFRICA,211132,181428,859,NO
Rovuma,Mozambique,AFRICA,83879,50486,602,NO
Columbus Basin,Trinidad & Tabago,AME,16815,9783,582,NO
Rub' Al-Khali,Qatar,MECA,666420,357034,536,NO
Jeanne D'Arc,Canada,AME,17660,9335,529,NO
Offshore Sarawak,Malaysia,APAC,51021,26473,519,YES
Eratosthenes,Cyprus,MECA,14627,7503,513,NO
Baram Delta,Malaysia,APAC,49137,24360,496,YES
W. Shetland/Faroe,UK,MECA,6895,3151,457,NO
Lower Congo,Angola,AFRICA,68816,30584,444,NO
Fahud-Ghaba,Oman,MECA,38699,16493,426,YES
East Natuna,Indonesia,APAC,56236,16386,291,NO
Talara,Peru,AME,17489,4952,283,NO
Campos Pre Salt,Brazil,AME,176622,48645,275,YES
West Siberian,Russia,MECA,2834338,762599,269,NO
S Caspian,Azerbaijan,MECA,267673,70112,262,NO
Malay,Malaysia,APAC,113073,29626,262,YES
Catemaco Fold Belt,Mexico,AME,3487,877,252,NO
Precaspian,Kazakhstan,MECA,543277,127652,235,NO
Tampico Misantla,Mexico,AME,63411,14261,225,NO
Santos Post Salt,Brazil,AME,371357,77899,210,YES
Gulf Coast,USA,AME,771685,145865,189,NO
North Slope,USA,AME,367953,67702,184,NO
Levantine,Cyprus,MECA,89154,16293,183,NO
Nile Delta,Egypt,MECA,108339,18932,175,YES
Greater Guyana,Guyana,AME,227457,38137,168,NO
Flemish Pass,Canada,AME,19139,3138,164,NO
C Sumatra,Indonesia,APAC,129283,19363,150,NO
Perdido,Mexico,AME,34223,4814,141,NO
Illizi,Algeria,MECA,147074,20660,140,NO
Campos Post Salt,Brazil,AME,176622,24201,137,YES
Sirte,Libya,MECA,501928,63654,127,NO
North Carnarvon,Australia,APAC,385745,47522,123,NO
Mesopotamia,Iraq,MECA,433933,52787,122,YES
Santos Pre Salt,Brazil,AME,371357,42585,115,YES
Douala,Cameroon,AFRICA,25341,2898,114,NO
North Sakhalin,Russia,MECA,235096,26516,113,NO
Offshore Sabah,Malaysia,APAC,51021,5733,112,YES
S Sumatra,Indonesia,APAC,125169,12632,101,YES
South Gabon,Gabon,AFRICA,53317,5262,99,NO
