table_name,best_geojson,score,alt1,alt1_score,alt2,alt2_score
Keta Basin,Akita Basin,0.818,Hetao Basin,0.818,Mesta Basin,0.818
Kwanza,Kwanza Basin,0.500,Kwae Noi Basin,0.357,Kerman Basin,0.333
Douala,Douala Basin,0.500,Doukkala Basin,0.429,Houma Basin,0.364
Niger Delta,Niger Delta,1.000,Baram Delta,0.545,Indus Delta,0.545
Salt Pond,Saltpond Basin,0.500,Salt Basin,0.500,Salton Trough,0.462
Sierra Leone-Liberia,Sierra Leone-Liberia Basin,0.769,Sierra Grande Arch,0.500,Sierra Blanca Basin,0.500
Tano-Ivorian,Tajo-Jucar Basin,0.438,Wind River Basin,0.438,Parsnip River Basin,0.421
Campos Pre Salt,Campos Basin,0.533,Campbellpore Basin,0.500,Zagros Province,0.400
Gulf of Guayaquil/ Progreso,Gulf of Thailand Basin,0.423,Gulf of Suez Basin,0.385,Gulf of Sirte Basin,0.346
Camamu Almada,Camamu-Almada Basin,0.684,Ayamaru Plateau,0.467,Tamarugal Basin,0.467
Santos Post Salt,Santos Basin,0.500,Pater Noster Shelf,0.444,North Coast Belt,0.438
Sergipe Alagoas,Sergipe-Alagoas Basin,0.714,Spermonde-Salayar Basin,0.435,Strait of Langres,0.412
Baram Delta,Baram Delta,1.000,Indus Delta,0.545,Niger Delta,0.545
East Java,East Java Shelf,0.600,East Java Basin,0.600,Eastern Plateau,0.467
Greater Tarakan,Greater Tarakan Basin,0.714,Great Bear Plain,0.500,Worcester Graben,0.500
Kutei,Kutei Basin,0.455,Kutch Basin,0.364,Kup Basin,0.333
Malay,Malay Basin,0.455,Acoma Sag,0.333,Middle Atlas,0.333
Nam Con Son,Nam Con Son Basin,0.647,Amazon Fan,0.545,Falcon Basin,0.500
Offshore Sabah,Oudtshoorn Basin,0.438,Cheshire Basin,0.429,Lord Howe Basin,0.400
Phu Khanh,Phu Khanh Basin,0.600,Phu Quoc Basin,0.357,Paus-Ranai High,0.333
S Sumatra,South Sumatra Basin,0.474,North Sumatra Basin,0.421,Struma Basin,0.417
West Java,West Java Basin,0.600,East Java Shelf,0.467,East Java Basin,0.467
Penyu-West Natuna,Penyu Basin,0.471,Pingyue Basin,0.412,Prince Regent Basin,0.368
Barents Sea,Barents Sea Platform,0.550,East Barents Sea Basin,0.500,Barito Shelf,0.500
Fahud-Ghaba,Mahanadi Graben,0.467,Zaghouan Graben,0.467,Balhaf Graben,0.462
